municipality,HEALTH CENTER,HEALTH CENTER/BASIC UNIT,POLYCLINIC,GENERAL HOSPITAL,SPECIALIZED HOSPITAL,MIXED UNIT,GENERAL EMERGENCY,SPECIALIZED EMERGENCY,CONSULTORIO ISOLADO,ISOLATED OFFICE,CLINIC/SPECIALTY CENTER,DIAGNOSIS AND THERAPY SUPPORT UNIT (ISOLATED SADT),UNIDADE MOVEL TERRESTRE,GROUND MOBILE UNIT,PHARMACY,HEALTH SURVEILLANCE UNIT,COOPERATIVE OR COMPANY FOR ASSIGNMENT OF WORKERS IN HEALTH,NORMAL BIRTH CENTER - ISOLATED,HOSPITAL/DAY - ISOLATED,HEALTH SERVICES REGULATION CENTER,LACEN CENTRAL PUBLIC HEALTH LABORATORY,HEALTH MANAGEMENT CENTER,HEMOTHERAPY AND OR HEMATOLOGY CARE CENTER,PSYCHOSOCIAL CARE CENTER,FAMILY HEALTH SUPPORT CENTER,INDIGENOUS HEALTH CARE UNIT,EMERGENCY SERVICE
150190,5,3,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
150195,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
150200,11,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150210,7,14,1,2,-,-,-,-,-,1,-,4,1,-,1,1,-,-,-,-,-,2,-,1,-,-,-
150215,4,6,-,2,-,-,-,-,4,-,10,-,-,1,-,1,-,-,-,1,-,1,-,1,1,-,-
150220,-,19,-,4,-,-,-,-,1,-,6,2,-,-,1,1,-,-,-,1,-,2,1,-,-,-,-
150230,12,4,-,2,-,-,-,-,-,-,1,2,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
150240,11,34,7,3,3,-,-,-,27,-,20,9,2,-,1,2,-,-,1,-,-,1,1,1,-,-,-
150250,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150260,6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150270,4,10,-,3,-,-,-,-,10,-,3,6,3,-,1,1,-,-,-,2,-,2,-,1,1,-,-
150275,6,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150276,4,2,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-
150277,2,7,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
150280,6,2,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150285,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
150290,-,10,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-
150293,8,-,-,3,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
150295,5,5,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-
150300,4,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150304,6,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-
150307,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
